Artist,Song
Julia Sheer;Jon D,Little Talks
James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Labrinth,Jealous
Parson James,Stole the Show
Lotte Kestner,Halo
Birdy,The A Team - Live
Koda,Staying
Us The Duo,Better Together
Malin Kojola,Skinny Love
Thomas Daniel,Scared To Be Lonely - Acoustic
Caroline Pennell,Follow the Sun - Acoustic
Daniela Andrade & New Heights,Just Give Me a Reason
The Staves,I'm On Fire
Colin & Caroline,Let It Go
The Sweeplings,Chains
Thyra,Ho Hey - Acoustic version
Sara Farell,Somebody Else - Acoustic
The White Raven,Headlights
The Civil Wars,Billie Jean
Tore Bojsten,Girl at Coachella
Jasmine Thompson,Pompeii
Linn Brikell,Crazy - Acoustic
Sam Smith,Not In That Way
The Mayries,Waterfall - Acoustic
Frances,Say It Again - Acoustic
Chris Call,I Feel It Coming - Acoustic Version
Kurt Hugo Schneider;Sam Tsui;Madilyn Bailey;Alex G,Send My Love (To Your New Lover)
Daniela Andrade,Crazy in Love
Thyra,Ugly Heart
Mysha Didi,Crazy
Kacey Musgraves,Apologize (Acoustic Version)
Tracy Chapman,The Promise
gnash;Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)"
Mike Posner,Be As You Are - Acoustic
Chris Call,Stitches - Acoustic Version
Walk Off the Earth,Teenage Dirtbag
Joshua Radin,Falling
The Mayries,Black Beatles - Acoustic
Anna Of The North,Baby
Sweetfire,Bang My Head - Radio Version
Hamilton,I'm Not The Only One - Acoustic Version
Ellie Goulding,Your Song
Tiago Iorc,My Girl
Sweetfire,Faded - Acoustic Version
Warpaint,Teese
Edwin McCain,I'll Be - Acoustic Version
Hamilton,Don't Dream It's Over - Acoustic Version
Oliver Riot,Neurosis
Colin & Caroline,Hello
Zedd;Matthew Koma;Miriam Bryant,Find You - Acoustic - Live In Los Angeles
Barfalk,Hands To Myself - Acoustic Version
Hamilton,Heroes - Acoustic Version
Ryan Montbleau;Tall Heights,Fast Car (feat. Tall Heights)
Maverick,Shower - Acoustic Version
Two Worlds,Wrecking Ball - Acoustic
Astrid S,Running Out - Live From The Studio / 2016
Alex G;Kady Z,Radioactive
Megan Davies,Summertime Sadness (Acoustic Cover) Feat. Keelan Donovan
Josh Rouse,The Oce
