Artist,Song
Matthew And The Atlas,I Will Remain
James Yuill,This Sweet Love
James Vincent McMorrow,Sparrow and the Wolf
Good Old War,Coney Island
Langhorne Slim;The Law,The Way We Move
Kishi Bashi,Philosophize In It! Chemicalize With It!
Hozier,From Eden
Allman Brown,Sweetest Thing
John Mayer,Wildfire
Deer Tick,The Dream's In The Ditch
Of Monsters and Men,Mountain Sound
Lowland Circus,Just Kids
Barry Louis Polisar,All I Want Is You
Passenger;Boy & Bear,Shape of Love (feat. Boy & Bear)
Judah & the Lion,Take It All Back 2.0
Noah And The Whale,5 Years Time
The Strumbellas,Spirits
Vance Joy,Mess Is Mine
Freedom Fry,Shaky Ground
Bahamas,All The Time
Pearl and the Beard,Douglas Douglass
Radical Face,"Welcome Home, Son"
Tom Speight,My My My
Declan McKenna,Brazil
Mumford & Sons,The Cave
Avicii;Sandro Cavazza,Without You (feat. Sandro Cavazza)
Maroon 5;SZA,What Lovers Do (feat. SZA)
Davai;CIRE,Replay
Felix Jaehn;Mike Williams,Feel Good
Jonas Blue;William Singe,Mama
Axwell /\ Ingrosso,More Than You Know
Rita Ora,Your Song
Justin Bieber;BloodPop?,Friends (with BloodPop?)
Kygo;Justin Jesso,Stargazing
ItaloBrothers,Summer Air
Moon Taxi,Two High
Maggie Lindemann;CADE;Cheat Codes,Pretty Girl - Cheat Codes X CADE Remix
SJUR;Chris Crone,Let Me Love You
Macklemore;Kesha,Good Old Days (feat. Kesha)
Martin Jensen;Loote,Wait
OneRepublic,No Vacancy
OneRepublic;Seeb,Rich Love (with Seeb)
Robin Schulz;James Blunt,OK
Lauv,I Like Me Better
Grace VanderWaal,Moonlight
Demi Lovato,Sorry Not Sorry
JP Cooper,September Song
Martin Jensen,Solo Dance
Matoma;Faith Evans;The Notorious B.I.G.;Snoop Dogg,Party On The West Coast (feat. Snoop Dogg)
Betty Who,Human Touch
Little Mix;Machine Gun Kelly,No More Sad Songs (feat. Machine Gun Kelly)
Felix Jaehn;Hight;Alex Aiono,Hot2Touch
Clean Bandit;Zara Larsson,Symphony
Alvaro;Faustix,Watching You
DEAMN,Give Me Your Love
Zara Larsson,TG4M
Kygo;Selena Gomez,It Ain't Me (with Selena Gomez)
M?,Nights With You
Sigrid,Plot Twist
Kiiara;Felix Snow,Whippin (feat. Felix Snow)
The Chainsmokers;Coldplay,Something Just Like This
Birgir,Can You Feel It
Olivia Holt,History
Ed Sheeran,Galway Girl
Starley;Ryan Riback,Call on Me - Ryan Riback Remix
Little Mix,Touch
Frances,No Matter
Aaron Carter,Sooner Or Later
Gryffin;Illenium;Daya,Feel Good
The Vamps;Matoma,All Night
Flo Rida;99 Percent,Cake
KREAM;Clara Mae,Taped Up Heart (feat. Clara Mae)
Sam Feldt;Deepend;Teemu,Runaways
Future Generations,Stars
CHAPPO,Come Home
Beck,Up All Night
Geowulf,Saltwater
Myd,The Sun
Cold Beat,62 Moons
Alex Lahey,You Don't Think You Like People Like Me
Frills,Magic Tide
Sorcha Richardson,Ruin Your Night
Riscas,Panic Like Tom
Moss,My Decision - Edit
Public Access T.V.,Metrotech
The Little Ones,Argonauts
Morningsiders,Somewhere In Between
Wilderado,Wheat
Nilüfer Yanya,Baby Luv
The Undercover Dream Lovers,Come Home
Tennis,Origins
Matt Pond PA,Still Summer
Nico Yaryan,Just Tell Me
The Shacks,This Strange Effect
Craft Spells,After the Moment
Lola Marsh,Wishing Girl
Freedom Fry,Shaky Ground
STRFKR,Rawnald Gregory Erickson the Second
Sjowgren,Now & Then
Future Islands,Ancient Water
Dagny,Backbeat
Tempesst,Waiheke
Man Man,Head On [Hold On To Your Heart]
Foreign Air,Free Animal
Parcels,Older
San Cisco,Too Much Time Together
The Undercover Dream Lovers,Good Luck
Lawrence Arabia,Apple Pie Bed
Real Estate,Darling
Moon Taxi,Make Your Mind Up
boy pablo,Everytime
Like Swimming,A Room of Her Own
Hippo Campus,baseball
DOPE LEMON,Marinade
Best Coast,Feeling Ok
HalfNoise,As U Wave
REYNA,Matinee
Diskopunk,Fire
Frills,My Love
Shout Out Louds,Oh Oh
lovelytheband,broken
Typhoon,Prosthetic Love
Portugal. The Man,Atomic Man
American Royalty,Matchstick
Duncan Fellows,Fresh Squeezed
The Shins,Name For You
JR JR,Control (Secretly Sorry)
Baio,Sister Of Pearl
Marsicans,Throw Ourselves In
Jack and Eliza,Oh No
Day Wave,Drag
Cloud Control,Panopticon
Arlie,Didya Think
The Wombats,Greek Tragedy
Plastic Picnic,Berkeley
Alex Lahey,Lotto In Reverse
Sharaya Summers,Light of the Moon
Sure Sure,Friends
Hazel English,Never Going Home
Young Galaxy,Pretty Boy
Flock of Dimes;Bayonne,The Joke - Bayonne Remix
POWERS,Beat of My Drum
The Shins,Australia
Wild Ones,Paresthesia
Rolling Blackouts Coastal Fever,French Press
Circa Waves,T-Shirt Weather
Cape Weather,Telephono
Declan McKenna,Brazil
Moon Taxi,Two High
Youth Lagoon,Afternoon
Roosevelt,Fever
The Growlers,City Club
POP ETC,What Am I Becoming?
Little Monarch,No Matter What
Oh800,Shoulda Known It
The Morning Benders,Excuses
Super Doppler,We Are Doing Fine
Day Wave,Gone
Palace,Bitter
VHS Collection,Waiting on the Summer
Peach Pit,Peach Pit
BROS,Tell Me
Fickle Friends,Swim
Generationals,"When They Fight, They Fight"
Mating Ritual,I Wear Glasses
The Wild Wild,When We Were Young
A Little Nothing,Into Waves
Gothic Tropic,Your Soul
Edward R.,Wolves and the Water
Foreign Air,In the Shadows
HalfNoise,Scooby's in the Back
Tokyo Police Club,Hang Your Heart
Island Club,Let Go
DEVOTED;Billionaire,Santa Fe (feat. Billionaire)
Local Natives,Dark Days
Shout Out Louds,Jumbo Jet
FUR,If You Know That I'm Lonely
Sure Sure,This Must Be the Place
Arlie,Big Fat Mouth
The Royal Concept,D-D-Dance
Metronomy,The Bay
Avid Dancer,You Only Like Me with the Lights Out
Future Generations,You've Got Me Flush
The Shins,Cherry Hearts - Flipped
Bombay Bicycle Club,Always Like This
Adrian Underhill,Cruel
Frankie & The Heartstrings,Hunger
The Features,This Disorder
Portugal. The Man,Feel It Still
Zuli,blaze
Hospitality,Friends of Friends
Colony House,You Know It
Vistas,Hold Me
Hippo Campus,Way It Goes
Lewis Del Mar,Painting (Masterpiece)
Tennis,Needle and a Knife
Mainland,Permission Slip
Ra Ra Riot;Rostam,Water
The Preatures,Is This How You Feel?
Generationals,Avery
Mass Gothic,Every Night You've Got to Save Me
Formation,All The Rest Is Noise
Architecture In Helsinki,Frenchy I'm Faking
Moon Taxi,All Day All Night
Leyya,Oh Wow
Circa Waves,Lost It
HONNE,Gone Are The Days
Flyte,Victoria Falls
The Head and the Heart,Rhythm & Blues
Bad Suns,Daft Pretty Boys
The Belle Game,Wait Up For You
Zipper Club,Small Town
Electric Guest,Dear To Me
Ron Gallo,"Young Lady, You're Scaring Me"
Ten Fé,Turn
Sjowgren,Seventeen
The Undercover Dream Lovers,Rewind
DIIV,Under the Sun
Fruit Bats,Humbug Mountain Song
Cosmo Sheldrake,Come Along (Edit)
Active Bird Community,Pick Me Apart
Born Ruffians,Foxes Mate For Life
Morningsiders,Empress
Yoke Lore,Goodpain
The Kooks,Naive
RAC;St. Lucia,The Beautiful Game
Two Door Cinema Club,Are We Ready? (Wreck)
of Montreal,Gronlandic Edit
Spoon,Rent I Pay
Declan McKenna,Isombard
The Dig,People Take Pictures of Each Other
Middle Kids,Edge of Town
Carnival Youth,Never Have Enough
TRACE,Low
Middle Kids,Never Start
Agua Roja,Summer Ends
STRFKR,Open Your Eyes
Temples,Certainty
Sam Patch,St. Sebastian
Mystery Jets;Laura Marling,Young Love (feat. Laura Marling)
Yoke Lore,Hold Me Down
San Cisco,Awkward - EP Version
