,Artist,Song,lyrics
10,Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,"Your love, lifting me higher
Than I've ever been lifted before
So keep it it up, quench my desire
And I'll be at your side forever more

You know your love (your love keeps lifting me)
Keep on lifting (your love keeps lifting me)
Higher (lifting me higher and higher)
Higher and higher (higher)
I said your love (your love keeps lifting me)
Keep on (your love keeps lifting me)
Lifting me (lifting me higher and higher)
Higher and higher (higher)
Listen

Now once, I was downhearted
Disappointment was my closest friend
But then you came and it soon departed
And you know he never showed his face again

That's why your love (your love keeps lifting me)
Keep on lifting me (your love keeps lifting me)
Higher (lifting me higher and higher)
Higher and higher (higher)
I said your love (your love keeps lifting me)
Keep on (your love keeps lifting me)
Lifting me (lifting me higher and higher)
Higher and higher (higher)
Alright

I'm so glad I've finally found you
Yes, that one in a million girls
And I whip my loving arms around you
Honey, I can stand up and face the world

Let me tell ya, your love (your love keeps lifting me)
Keep on lifting me (your love keeps lifting me)
Higher (lifting me higher and higher)
Higher and higher (higher)
And I said your love (lifting, lifting, lifting)
Keep on (your love keeps lifting me)
Lifting me (lifting me higher and higher)
Higher and higher (higher)

Aw, now sock it to me (lifting, lifting, lifting)
Alright, lift me up woman (your love keeps lifting me)
Keep my love going (lifting me higher and higher)
Higher and higher (higher)
I said keep on lifting (lifting, lifting, lifting)
Lift me up mama (your love keeps lifting me)
Keep on lifting me (lifting me higher and higher)
Higher and higher (higher)"
11,Stevie Wonder,Sir Duke,"Music is a world within itself
With a language we all understand
With an equal opportunity
For all to sing, dance and clap their hands

But just because a record has a groove
Don't make it in the groove
But you can tell right away at letter A
When the people start to move

They can feel it all over
They can feel it all over people
They can feel it all over
They can feel it all over people

Music knows it is and always will
Be one of the things that life just won't quit
But here are some of music's pioneers
That time will not allow us to forget:
For there's Basie, Miller, Satchmo
And the king of all, Sir Duke
And with a voice like Ella's ringin' out
There's no way the band could lose

You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people

You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
I can feel it all over, all over people

Can't you feel it all over?
Come on, let's feel it all over people
You can feel it all over
Everybody, all over people
Come on!"
12,Johnny Nash,I Can See Clearly Now - Edit,-1
13,Ray Charles,I've Got A Woman,-1
14,The Supremes,Come See About Me,"I've been crying (ooh, ooh)
Cause I'm lonely (for you)
Smiles have all turned (to tears)
But tears won't wash away the fears

That you're never ever gonna return
To ease the fire that within me burns
It keeps me crying, baby, for you
Keeps me sighing, baby, for you

So won't you hurry
Come on, boy, see about me
(Come see about me)
See about your baby
(Come see about me)

I've given up my friends just (for you)
My friends are gone and you have too
No peace shall I find
Until you come back and be mine

No matter what you do or say
I'm gonna love you anyway
Keep on crying, baby, for you
I'm gonna keep sighing, baby, for you

So come on, hurry
Come on and see about me
(Come see about me)
See about your baby
(Come see about me)

Sometimes up (ooh, ooh)
Sometimes down (ooh, ooh)
My life's so uncertain (ooh, ooh)
With you not around (ooh, ooh)

From my arms you may be out of reach
But my heart says you're here to keep
Keeps me crying, baby, for you
Keep on, keep on crying, baby, for you

So won't you hurry
Come on, boy, see about me
(Come see about me)
See about your baby
(Come see about me)
You know I'm so lonely
(Come see about me)
I love you only
(Come see about me)
See about your baby
(Come see about me)
Hurry, hurry
(Come see about me)"
15,The Isley Brothers,This Old Heart Of Mine (Is Weak For You) - Single Version (Mono),-1
16,James Brown,Get Up Offa That Thing,"Aw!

Oh!

Say it now!

I'm back!

I'm back!

I'm back!

I'm back!

Get up offa that thing,
And dance till you feel better,
Get up offa that thing,
And dance till you, sing it now!
Get up offa that thing,
And dance till you feel better,
Get up offa that thing,
And try to release that pressure!
Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And shake it, say it now!
Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And try to release that pressure!
Get up off!
Ha!
Good God!
So good!

Ha!
Everybody ready?!

Follow me!

Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And shake it, sing it now!
Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And try to release that pressure!
Get up offa that thing, (Ha!)
And twist till you feel better,
Get up offa that thing,
And shake till you, sing it now!
Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And try to release that pressure!

Huh!
Get funky!

So good, Uh!
I'm first to stop, ha!
I've told them now, ha!
(I'm not sure about those last two lines)
Uh!
Ha!
Ohio player! (like the band, or maybe 'Go higher player!')
Can you hit it one time, from the top?!
Get up offa that thing,
And dance to try, you better! [?]
Get up offa that thing,
And... Help me!
Get up offa that thing,
And dance till you feel better!
Get up offa that thing,
And try to release that pressure!

Huh!

I need it!

That's the wise old brother at the side start good!
C'mon Clive do it!

Do it!

Uh!
Ha!
Good God!
God Good! [that's not a typo]
Huh!
Feels good!
Feels good!
Do it to me!
Huh!
Good God!
I want you all in the jam! [i think]
Gonna get you all in the jam!
Play that bad funk!
Show 'em how funky you are!
Play it JB's!
Play it now!
Hey!
Get up offa that thing,
And dance till you feel better!
Get up offa that thing,
And dance till you, help me out!
Get up offa that thing,
And dance till you feel better!
Get up offa that thing,
And try to release that pressure!
Get up offa that thing,
And shake till you feel better!
Get up offa that thing,
And try to release, say it now!
Get up offa that thing,
And shake till you feel better,
Get up offa that thing,
And try to release that pressure!
Get up and... call it!
I feel good!"
17,Aretha Franklin,Think,"You better think (think)
Think about what you're tryin' to do to me
Think (think-think)
Let your mind go, let yourself be free

Let's go back - let's go back
A let's go way on to way back when
I didn't even know you
You couldn't a been too much more than ten (just a child)

I ain't no psychiatrist
I ain't no doctor with degrees
But it don't take too much I.Q.
To see what you're doing to me

You better think (think)
Think about what you're tryin' to do to me
Yeah, think (think-think)
Let your mind go, let yourself be free

Oh freedom (freedom)
Oh freedom
Oh, freedom (yeah)

Oh freedom
Oh freedom (freedom)
Oh freedom
Oh freedom

Oh ya got to have
Hey! think about it
You! think about it

There ain't nothin' you could ask
I could answer you with ""I won't"" (I won't)
But I was gonna change my mind
If you keep doin' things I don't (don't)

You better think (think)
Think about what you're tryin' to do to me
(What you're tryin' to do to me)
Oh-oh-oh think (think)
Let your mind go, let yourself be free

People walk around everyday
Playin' games and takin' scores
Tryin' to make other people lose their mind
Well, be careful you don't lose yours

Oh think (think)
Think about what you're tryin' to do to me
Woo-hoo, think (think)
Let your mind go, let yourself be free

You need me (need me)
And I need you (don't cha' know)
Without each other
There ain't nothin' either can do

Oh yeah, think about it, baby
(What 'cha tryin' to do to me, think)
Better go baby, think about it right now

Yeah, right now (tell about - forgiveness)
Woo, right now (tell about - forgiveness)
Hey, right now (tell about - forgiveness)
I need to change your mind (think about it)
Baby, baby, baby
(Tell about it - forgiveness)
Woo, tell about it baby (tell about - forgiveness)

Yeah, woo-hoo (tell about - forgiveness)
Tell about it baby, you think about it right now"
18,Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)","Ooh, sugar pie, honey bunch
You know that I love you
I can't help myself
I love you and nobody else

In and out my life (In and out my life)
You come and you go (You come and you go)
Leaving just your picture behind (Ooh)
And I've kissed it a thousand times (Ooh)

When you snap your finger or wink your eye
I come a-running to you
I'm tied to your apron strings
And there's nothing that I can do, ooh

I can't help myself
No, I can't help myself

'Cause sugar pie, honey bunch (Sugar pie, honey bunch)
I'm weaker than a man should be
I can't help myself
I'm a fool in love, you see

Wanna tell you I don't love you
Tell you that we're through and I try
But every time I see your face (Can't help myself)
I get all choked up inside

When I call your name
Girl, it starts to flame (Burning in my heart, tearing it all apart)
No matter how I try
My love I cannot hide

'Cause sugar pie, honey bunch (Sugar pie, honey bunch)
You know that I'm waiting for you (Waiting for you)
I can't help myself
I love you and nobody else, ooh

Sugar pie, honey bunch (Sugar pie, honey bunch)
I'd do anything you ask me to (Ask me to)
I can't help myself
I want you and nobody else, ooh

Sugar pie, honey bunch (Sugar pie, honey bunch)
You know that I love you (Love you)
I can't help myself
No, I can't help myself, ooh

Sugar pie, honey bunch (Sugar pie, honey bunch)
You know that I love you"
19,Ray Charles,Hallelujah I Love Her So - Single/LP Version,-1
