,Artist,Song,lyrics
45,A Sol Mechanic,After Dark,-1
46,11:11,Good Love,-1
47,midnight,Absolute Reprise,-1
48,ESTA.,Honey,-1
49,jamvvis,mind,-1
50,Ed Sheeran,Tenerife Sea,"You look so wonderful in your dress
I love your hair like that
The way it falls on the side of your neck
Down your shoulders and back

We are surrounded by all of these lies
And people who talk too much
You've got that kind of look in your eyes
As if no one knows anything but us

And should this be the last thing I see
I want you to know it's enough for me
Cause all that you are is all that I'll ever need

I'm so in love, so in love
So in love, so in love

You look so beautiful in this light
Your silhouette over me
The way it brings out the blue in your eyes
Is the Tenerife Sea

And all of the voices surrounding us here
They just fade out when you take a breath
Just say the word and I will disappear
Into the wilderness

And should this be the last thing I see
I want you to know it's enough for me
Cause all that you are is all that I'll ever need

I'm so in love, so in love
So in love, so in love

Lumière, darling
Lumière over me
Lumière, darling
Lumière over me
Lumière, darling
Lumière over me
Lumière, darling
Lumière over me
Lumière, darling
Lumière over me
Lumière, darling
Lumière over me

And should this be the last thing I see
I want you to know it's enough for me
Cause all that you are is all that I'll ever need

I'm so in love, so in love
So in love, love, love, love,
So in love

You looked so wonderful in your dress
I loved your hair like that
And in the moment I knew you back"
51,Haley Reinhart,Can't Help Falling in Love,"Wise men say
Only fools rush in
But I can't help
Fallin' in love with you
Oh, shall I stay

Would it be a sin
Oh, if I can't help
Fallin' in love with you
Like a river flows

Surely to the sea

Darling so it goes
Some things
Are meant to be
Take my hand

Take my whole life too
Oh, for I can't help
Fallin' in love with you
Oh, like a river flows

Surely to the sea
Darling so it goes
Some things are meant to be
Oh, take my hand
Take my whole life too
For I can't help
Fallin' in love with you
Oh, oh, for I, I can't help
Falling in love with you"
52,AJR,Location - Recorded at Spotify Studios NYC,-1
53,Ellie Goulding,How Long Will I Love You - Bonus Track,"How long will I love you?
As long as stars are above you
And longer if I can

How long will I need you?
As long as the seasons need to
Follow their plan

How long will I be with you?
As long as the sea is bound to
Wash up on the sand

How long will I want you?
As long as you want me to
And longer by far

How long will I hold you?
As long as your father told you
As long as you can

How long will I give to you?
As long as I live through you
However long you say

How long will I love you?
As long as stars are above you
And longer if I may

How long will I love you?
As long as stars are above you"
54,Coldplay,The Scientist,"Come up to meet you
Tell you I'm sorry
You don't know how lovely you are

I had to find you
Tell you I need you
Tell you I set you apart

Tell me your secrets
And ask me your questions
Oh let's go back to the start

Running in circles
Coming up tails
Heads on a science apart

Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard

Oh take me back to the start

I was just guessing
At numbers and figures
Pulling your puzzles apart

Questions of science
Science and progress
Could not speak as loud as my heart

Tell me you love me
Come back and haunt me
Oh when I rush to the start

Running in circles
Chasing tails
Coming back as we are

Nobody said it was easy
Oh it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard

I'm going back to the start"
55,Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,-1
56,Ed Sheeran,Photograph,"Loving can hurt, loving can hurt sometimes
But it's the only thing that I know
When it gets hard, you know it can get hard sometimes
It is the only thing that makes us feel alive

We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closing
Hearts are never broken
Time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone, wait for me to come home

Loving can heal, loving can mend your soul
And it's the only thing that I know, know
I swear it will get easier, remember that with every piece of you, mmm
And it's the only thing we take with us when we die

Mmm, we keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closing
Hearts were never broken
Time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holding me close until our eyes meet
You won't ever be alone
And if you hurt me
That's okay baby, only words bleed
Inside these pages you just hold me
And I won't ever let you go
Wait for me to come home
Wait for me to come home
Wait for me to come home
Wait for me to come home

Oh you can fit me
Inside the necklace you got when you were sixteen
Next to your heartbeat where I should be
Keep it deep within your soul
And if you hurt me
Well that's okay baby, only words bleed
Inside these pages you just hold me
And I won't ever let you go

I will remember how you kissed me
Under the lamppost back on Sixth Street
Hearing you whisper through the phone
Wait for me to come home"
57,Christina Perri,A Thousand Years,"Heart beats fast, colors and promises
How to be brave, how can I love when I'm afraid to fall
But watching you stand alone, all of my doubt suddenly goes away
Somehow, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

Time stands still, beauty in all she is
I will be brave, I will not let anything take away
Standing in front of me, every breath
Every hour has come to this, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more, one step closer, one step closer

I have died everyday waiting for you
Darling, don't be afraid, I have loved you
For a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more"
58,Alicia Keys,If I Ain't Got You,"Some people live for the fortune
Some people live just for the fame
Some people live for the power, yeah
Some people live just to play the game

Some people think that the physical things
Define what's within
And I've been there before but that life's a bore
So full of the superficial

Some people want it all
But I don't want nothing at all
If it ain't you, baby
If I ain't got you, baby

Some people want diamond rings
Some just want everything
But everything means nothing
If I ain't got you, yeah

Some people search for a fountain
That promises forever young
Some people need three dozen roses
And that's the only way to prove you love him

Hand me the world on a silver platter
And what good would it be?
With no one to share
With no one who truly cares for me

Some people want it all
But I don't want nothing at all
If it ain't you, baby
If I ain't got you, baby

Some people want diamond rings
Some just want everything
But everything means nothing
If I ain't got you, you, you

Some people want it all
But I don't want nothing at all
If it ain't you, baby
If I ain't got you, baby

Some people want diamond rings
Some just want everything
But everything means nothing
If I ain't got you, yeah

If I ain't got you with me, baby
Said nothing in this whole wide world don't mean a thing
If I ain't got you with me, baby"
59,Howie Day,Collide - Acoustic Version,-1
60,Adele,Turning Tables,"Close enough to start a war
All that I have is on the floor
God only knows what we're fighting for
All that I say, you always say more

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me
No, I won't rescue, you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
To turning tables

Under haunted skies I see you
Ooh, where love is lost, your ghost is found
I've braved a hundred storms to leave you
As hard as you try, no, I will never be knocked down

I can't keep up with your turning tables
Under your thumb, I can't breathe

So I won't let you close enough to hurt me
No, I won't rescue, you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
To turning tables

Next time I'll be braver
I'll be my own saviour
When the thunder calls for me
Next time I'll be braver
I'll be my own saviour
Standing on my own two feet

I won't let you close enough to hurt me, no
I won't rescue you to just desert me
I can't give you the heart you think you gave me
It's time to say goodbye to turning tables
To turning tables
Turning tables, yeah
Turning, oh..."
61,Cage The Elephant,Whole Wide World - Recorded at Spotify Studios NYC,-1
62,John Mayer,Free Fallin' - Live at the Nokia Theatre,"Unfortunately, we are not licensed to display the full lyrics for this song at the moment. Hopefully we will be able to in the future. Until then... how about a random page?
[I want to edit metadata]"
63,Ed Sheeran,Kiss Me,"Settle down with me
Cover me up
Cuddle me in
Lie down with me
Hold me in your arms

Your heart's against my chest
Lips pressed to my neck
I've fallen for your eyes
But they don't know me yet

And the feeling I forget
I'm in love now

Kiss me like you wanna be loved
Wanna be loved
Wanna be loved

This feels like I've fallen in love
Fallen in love
Fallen in love

Settle down with me
And I'll be your safety
You'll be my lady

I was made to keep your body warm
But I'm cold as, the wind blows
So hold me in your arms

My heart's against your chest
Your lips pressed to my neck
I've fallen for your eyes
But they don't know me yet

And the feeling I forget
I'm in love now

Kiss me like you wanna be loved
Wanna be loved
Wanna be loved

This feels like I've fallen in love
Fallen in love
Fallen in love

Yeah I've been feeling everything
From hate to love
From love to lust
From lust to truth
I guess that's how I know you

So hold you close
To help you give it up

So kiss me like you wanna be loved
Wanna be loved
Wanna be loved

This feels like I've fallen in love
Fallen in love
Fallen in love

So kiss me like you wanna be loved
Wanna be loved
Wanna be loved

This feels like I've fallen in love
Fallen in love
Fallen in love"
64,Adele,Make You Feel My Love,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I will never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry, I'd go black and blue
And I'd go crawling down the avenue
No there's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rolling sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me, yet

I could make you happy, make your dreams come true
Nothing that I wouldn't do
Go to the ends of the earth for you
To make you feel my love
To make you feel my love"
65,Lauv,Don't Matter - Recorded at Spotify Studios NYC,-1
66,Lily Allen,Somewhere Only We Know,"I walked across an empty land
I knew the pathway like the back of my hand
I felt the earth beneath my feet
Sat by the river and it made me complete

Oh simple thing, where have you gone?
I'm getting tired and I need something to rely on

I came across a fallen tree
I felt the branches of it looking at me
Is this the place we used to love?
Is this the place that I've been dreaming of?

Oh simple thing, where have you gone?
I'm getting old and I need something to rely on

And if you have a minute why don't we go
Talk about it somewhere only we know?
This could be the end of everything
So why don't we go somewhere only we know?
Somewhere only we know

Oh simple thing, where have you gone?
I'm getting old and I need someone to rely on
So tell me when you're gonna let me in
I'm getting tired and I need somewhere to begin

And if you have a minute why don't we go
Talk about it somewhere only we know?
'Cause this could be the end of everything
So why don't we go somewhere only we know?
Somewhere only we know"
