,Unnamed: 0,Artist,Song,lyrics
22,22,Fleet Foxes,"If You Need To, Keep Time On Me","How could it all fall in one day?
Were we too sure of the sun?
Â 
If you need to, keep time on me
If you need to, keep time on me
Â 
Who knows what State is in store?
If they all turn, will you run?
Â 
If you need to, keep time on me
If you need to, keep time on me
Â 
When I need to, I'll keep time on you

Wide oceans roar
A frightened fool stokes heatless fire
Â 
But if you need to, keep time on me
If you need to, keep time on me
Â 
How could it all fall in one day?
Were we too sure of the sun
Â 
If you need to, keep time on me
If you need to, keep time on me"
24,24,Villagers,Nothing Arrived - Live from Spotify London,"Savanna scatters and the seabird sings
So why should we fear what travel brings?
What were we hoping to get out of this?
Some kind of momentary bliss?

I waited for something, but something died
So I waited for nothing, and nothing arrived

It's our dearest ally, it's our closest friend
It's our darkest blackout, it's our final end
My dear sweet nothing, let's start anew
From here on in, it's just me and you

I waited for something, but something died
So I waited for nothing, and nothing arrived

Well I guess it's over, I guess it's begun
It's a losers' table, but we've already won
It's a funny battle, it's a constant game
I guess I was busy, when nothing came

I guess I was busy (when nothing arrived)
I guess I was busy (when nothing arrived)
I guess I was busy (when nothing arrived)
I guess I was busy

I waited for something, but something died
So I waited for nothing, and nothing arrived
I waited for something, but something died
So I waited for nothing, and nothing arrived"
27,27,JosÃ© GonzÃ¡lez,Stay Alive,"There's a rhythm in rush these days
Where the lights don't move and the colors don't fade
Leaves you empty with nothing but dreams
In a world gone shallow 
In a world gone lean

Sometimes there's things a man cannot know
Gears won't turn and the leaves won't grow
There's no place to run and no gasoline
Engine won't turn
And the train won't leave

Engines won't turn and the train won't leave

I will stay with you tonight
Hold you close 'til the morning light
In the morning watch a new day rise
We'll do whatever just to stay alive
We'll do whatever just to stay alive

Well the way I feel is the way I write
It isn't like the thoughts of the man who lies
There is a truth and it's on our side
Dawn is coming 
Open your eyes
Look into the sun as the new days rise

And I will wait for you tonight
You're here forever and you're by my side
I've been waiting all my life
To feel your heart as it's keeping time
We'll do whatever just to stay alive

Dawn is coming 
Open your eyes
Dawn is coming
Open your eyes
Dawn is coming
Open your eyes
Dawn is coming
Open your eyes

Look into the sun as the new days rise
There's a rhythm in rush these days
Where the lights don't move and the colors don't fade
Leaves you empty with nothing but dreams
In a world gone shallow
In a world gone lean

But there is a truth and it's on our side
Dawn is coming open your eyes
Look into the sun as a new days rise"
28,28,Of Monsters and Men,Slow And Steady,"The lights go out, I am all alone
All the trees outside are buried in the snow
I spend my night dancing with my own shadow
And it holds me and it never lets me go

I move slow and steady
But I feel like a waterfall
Yeah, I move slow and steady
Past the ones that I used to know

My dear, old friend, take me for a spin
Two wolves in the dark, running in the wind
I'm letting go, but I've never felt better
Passing by all the monsters in my head

And I move slow and steady
But I feel like a waterfall
Yeah, I move slow and steady
Past the ones that I used to know
And I'm never ready
'Cause I know, I know, I know
That time won't let me
Show what I want to show

And I move slow and steady
But I feel like a waterfall
Yeah, I move slow and steady
Past the ones that I used to know
And I'm never ready
'Cause I know, I know, I know
That time won't let me
Show what I want to show"
29,29,Vance Joy,Georgia,"She is something to behold
Elegant and bold
She is electricity
Running to my soul

And I could easily lose my mind
The way you kiss me
Will work each time
Calling me to come back to bed
Singing Georgia on my mind

Lips generous and all
You build me up like steps
Eyes innocent and wild
Remind me what it's like

And I could easily lose my mind
The way you kiss me will work each time
Calling me back into the flames
And I'm burning up again
I'm burning up

And I I never understood what was at stake
Never thought your love was worth it's wait
Well now you've come and gone
I finally worked it out
I worked it out

I never should have told you
I never should have let you see inside
Don't want a trouble in your mind
Won't you let it be

And I could easily lose my mind
The way you kiss me will work each time
Calling me to come back to bed
Singing Georgia on my mind

And I I never understood what was at stake
I never thought your love was worth its wait
Well now you've come and gone
I finally worked it out
I worked it out"
30,30,Bibio,Petals,"To see age in a flower
The dawns are speeding up
You know it'll hurt you
Feel all of a sudden
Tired and teary-eyed
You knew it'd kill you
Don't wear a tie that'll choke you
To death in the city
Take it off and forget
Spare the fret that'll make you
Miss all of summer
Sweat it out and forgive
To see loss in a shower
The petals turn to mush
It still disappoints you
Then less of a sudden
You wire your weary mind
To let it deceive you
Don't force a smile that'll make you
Resent the city
Play it soft and forgive
Keep the frown that'll make you
Squint in the summer
Play it slow and forget"
32,32,The Barr Brothers,Even The Darkness Has Arms,"I was holding my breath
When the tightrope walker
Slipped into the moonglow
Saying all my children follow me
Maybe it's time to go
You can be chrome when you're wise
Can be wise when you're blue
And baby if I have, then I have for you

Bribing the jury to keep me in jail
Singing ""Tea for the Tillerman""
And although I lie fantastically
I swore an oath on my history
It's a miracle I can see
You can be wrong when you're right
Even when you're right on cue
And if I die tonight, then I die for you

Calling on those that call me son
Great-grandson, or grandson
Great uncles, aunts and relatives
To judge what I have done
Gonna make right by you
Even if it's all I do
And if it's all I do, then I do for you

People will raise a whole lot of hell about
The water and the wind-mill
And although I stab chaotically
It hurts no one but me
Even the darkness has arms
But they ain't got you
Baby, I have it, and I have you too

And a light in the window
To pass the night through
May be so uncertain but what can I do
Keeping it on, keeping it on
And I know I like it but what does that prove
Sometimes I worry I don't know
How to love you

I was breakin the law when the knight (?)
When the straw hit the whipperwill
(Missing line) oh I oh I oh I do
Hungry enough to kill
Wherever the white dove goes
It goes unseen
And he sees below
And he knows you're dreamin'

I bring to you with reverant hands
All the books that my love abides
Kind woman that my passion wore
Like the shoreline wears the tides
Maybe the water went dry
Keeping an eye on you
And with an eye on you, it could drown me too

People will raise a whole lot of hell about
The water and the wind-mill
I swore an oath on my history
It's a miracle I can see
Even the darkness has arms
But they ain't got you
Baby, I have it, and I have you too

And a light in the window
To pass the night through
May be so uncertain but what can I do
Keeping it on, keeping it on
And I know I like it but what does that prove
Sometimes I worry I don't know
How to love you"
33,33,Mumford & Sons;Baaba Maal,There Will Be Time,"But in the cold light I live to love and adore you
It's all that I am
It's all that I have

In the cold light I live, I only live for you
It's all that I am
It's all that I have

Baaba Maal:
So I opened up my eyes
To a new light
I wandered 'round your darkened land all night

But I lift up my eyes
To a new height
And indeed there will be time

But in the cold light I live to love and adore you
It's all that I am
It's all that I have

In the cold light I live, I'll only live for you
It's all that I am

It's all that I have

And in the cold light I live to love and adore you
It's all that I am
It's all that I have

In the cold light I live to love and adore you
It's all that I am
It's all that I have

Why do I keep falling?
Why do I keep falling?

Baaba Maal:
And in the cold light I live to love and adore you
It's all that I am
It's all that I have
In the cold light I live to love and adore you
It's all that I am
It's all that I have
Why do I keep falling?
Why do I keep falling?"
35,35,Langhorne Slim;The Law,Changes,"Things could be stranger but I don't know how
I'm going through changes now
I've spent a lifetime trying to figure it out
I'm going through changes now

And I've just begun under a purple sun
There's many reasons we are what we've become
I'm going through changes, ripping out pages
I'm going through changes now

I knew it once, but I forgot
I'm going through changes now
We want everything but what we've got
I'm going through changes now

Maybe it's too soon under a purple moon
But I'd ride off with you in a big balloon
I'm going through changes, rattling cages
I'm going through changes now

Things could be different but I don't know how
I'm going through changes, through all of the strangeness
I'm going through changes now"
37,37,Phoria,Melatonin (Unplugged),"Feel the wind motions you
If you were mine to carry my love, here
From the legends, a lesson, you're on
Already know your way, I am hours away

I know you want it
You're singing about it
Oho, you're kicking out the mile
And incredible pain

If you were here, I'd find you
If you could see the ground that I am, here
From the legends, a lesson, you're on
Already know your way, I am hours away

I know you want it
You're singing about it
I know you want it
Oho, you're kicking out the mile
And incredible pain

This is the mist in your eyes, my love
And the one that I need is you
And I know that us is one
This is the mist in your eyes, my love
I know you want it
I know you want it"
